population,RAYON,NOTE,geometry
1109.0,Медеуский,пр.Назарбаева- ул.Шевченко- ул.Кунаева-пр.Абая,POINT (76.94965446987871 43.24470369361762)
1012.0,Медеуский,ул.Кунаева- ул.Шевченко- ул.Пушкина-пр.Абая,POINT (76.95305934785836 43.24490010085697)
523.0,Медеуский,пр.Назарбаева- пр.Аль-Фараби.Бульвар Мендикулова-  ул.ХАДЖИ-МУКАНА,POINT (76.95246997373722 43.226618318816215)
1.0,Медеуский,пр.Достык- пр.Аль-Фараби-  ул.ЕЛЕБЕКОВА,POINT (76.96206126058873 43.227252389060574)
386.0,Медеуский,ул.ТАТТИМБЕТА- ул.КЫЗ-ЖИБЕК(КОК-ТОБЕ)-ОМАРОВОЙ,POINT (76.97028573926377 43.2198160194006)
452.0,Медеуский,ул.Толе би- ул.КАСТЕЕВА- ул.БОГЕНБАЙ БАТЫРА- ул.БУТАКОВСКАЯ,POINT (76.97140608711673 43.25573842448743)
283.0,Медеуский,ул.Толе би- ул.АКТАНГЕР(КОК ТОБЕ)-р.Абылгазы(Солоновка),POINT (76.97610836501623 43.25435154360754)
361.0,Медеуский,ул.ЗАТАЕВИЧА(Горный Гигант)- ул.Жамакаева(ГОРНЫЙ ГИГАНТ)- ул.АХМЕДЬЯРОВА(ГОРНЫЙ ГИГАНТ)- ул.ИСКЕНДЕРОВА(ГОРНЫЙ ГИГАНТ)- ул.ЖУКОВА(ГОРНЫЙ ГИГАНТ),POINT (76.94911394638534 43.21781123211661)
331.0,Медеуский,ул.Жамакаева(Горный Гигант)- ул.АХМЕДЬЯРОВА(ГОРНЫЙ ГИГАНТ)- ул.СЫЗГАНОВА(ГОРНЫЙ ГИГАНТ)- ул.ЗАТАЕВИЧА(ГОРНЫЙ ГИГАНТ),POINT (76.94540920197065 43.21568222210721)
785.0,Медеуский,ул.Кабанбай батыра- ул.ЗВЕРЕВА- ул.БОГЕНБАЙ БАТЫРА-р.Малая Алматинка,POINT (76.96169332830645 43.2523283500245)
409.0,Медеуский,ул.Кабанбай батыра- ул.КАСТЕЕВА- ул.БОГЕНБАЙ БАТЫРА- ул.Бегалина,POINT (76.9669244756604 43.25291779408512)
258.0,Медеуский,ул.БОГЕНБАЙ БАТЫРА- ул.КАСТЕЕВА.ул.Кабанбай батыра- ул.ВОДНАЯ,POINT (76.96931637281672 43.25343119661226)
391.0,Медеуский,ул.БОГЕНБАЙБАТЫРА- ул.ВОДНАЯ- ул.Кабанбай батыра- ул.БУТАКОВСКАЯ,POINT (76.97185021262536 43.25339971082301)
464.0,Медеуский,ул.Абдуллиных- ул.КАЗЫБЕК БИ-р.Малая Алматинка- ул.БОГЕНБАЙ БАТЫРА,POINT (76.96168239215177 43.25626317626972)
485.0,Медеуский,р.Малая Алматинка- ул.БОГЕНБАЙ БАТЫРА- ул.КАСТЕЕВА- ул.Толе би,POINT (76.96511608288229 43.25531487174241)
740.0,Медеуский,р.Жарбулак (Казачка)- ул.БУТАКОВСКАЯ- ул.КАМАР СУЛУ(КОК ТОБЕ)- ул.БАГЛАНОВОЙ(КОК ТОБЕ)- ул.ДИВАЕВА(КОК ТОБЕ)-ул.ГОРОДСКАЯ(КОК ТОБЕ),POINT (76.97229176085577 43.249765041975124)
655.0,Медеуский,ул.Кабанбай батыра- ул.Бегалина- ул.БЕКХОЖИНА-рЖарбулак (Казачка),POINT (76.96707962911341 43.24866424286143)
894.0,Медеуский,ул.Кабанбай батыра- ул.Курмангалиева- ул.БЕКХОЖИНА- ул.Бегалина,POINT (76.96340574532893 43.248851319357065)
164.0,Медеуский,ул.БИГЕЛЬДИНОВА(КОК ТОБЕ)- ул.ДИВАЕВА(КОК ТОБЕ)-Восточная объездная дорога,POINT (76.97676346611762 43.24725667727172)
63.0,Медеуский,ул.Курмангалиева- ул.Кошкунова- ул.Бегалина- ул.БЕКХОЖИНА,POINT (76.96310926283039 43.245063379003845)
1170.0,Медеуский,пр.Достык- ул.Сатпаева- ул.Луганского- ул.Кошкунова,POINT (76.9587161103195 43.24140936600399)
1518.0,Медеуский,пр.Достык- ул.НЬЮТОНА-НАБЕР.ТАЖИБАЕВА- ул.Сатпаева,POINT (76.95902060055573 43.2364408699898)
813.0,Медеуский,ул.БЕКХОЖИНА- ул.Бегалина- ул.Кошкунова-р.Жарбулак (Казачка),POINT (76.96627270011705 43.24465214749024)
118.0,Медеуский,ул.Кошкунова- ул.Бегалина-пер.Дачный-р.Жарбулак (Казачка),POINT (76.96535774422233 43.24189047258876)
378.0,Наурызбайский,пр. Райымбека- Алты Алаш-ЖК Гулдер-Хакимжанова,POINT (76.8053442480399 43.234398343436965)
620.0,Наурызбайский,ЖК Гулдер,POINT (76.80884181066648 43.23527504034271)
254.0,Медеуский,ул.ТАТТИМБЕТА,POINT (76.97630856380735 43.20633167700981)
101.0,Медеуский,ул.ОНДАСЫНОВА,POINT (76.9816134177033 43.203535073281586)
154.0,Медеуский,ул.ОНДАСЫНОВА- ул.КАЙСЕНОВА,POINT (76.9832471811216 43.20834919564345)
55.0,Турксибский,жансугурова- Фучика-Токтагула-Александрова,POINT (76.9339812248805 43.29621673353038)
194.0,Турксибский,Фучика- Токтогула- Зелинского- Александрова- Кулибина,POINT (76.93604672697421 43.29634806261056)
283.0,Наурызбайский,пр.Райымбека-р. Сапожниково-  ул.Ашимова (Калкаман-2),POINT (76.80001235578963 43.23222218176865)
655.0,Медеуский,ул.Кирпичнозаводская 9- ая- ул.Хаджи-Мукана-пр.Назарбаева,POINT (76.950258339336 43.224943013540305)
126.0,Медеуский,мкр.Самал-3,POINT (76.95663489221353 43.226727451608596)
404.0,Наурызбайский,ул.Айымбетова- ул.Алты Алаш- ул.Тажибаева- ул.Аханова,POINT (76.8070837529629 43.232189277244196)
145.0,Медеуский,пр.Достык- ул.Хаджи-Мукана-мкр.Самал-3,POINT (76.95960586061229 43.22656901046366)
426.0,Медеуский,Бульвар Мендикулова- ул.Хаджи-Мукана- мкр.Самал-3,POINT (76.9563449409833 43.22557843517249)
297.0,Медеуский,Бульвар Мендикулова- пр.Аль-Фараби- мкр.Самал-3,POINT (76.95470709508271 43.227239959835266)
436.0,Медеуский,Аль-Фараби пр.-пр.Достык-мкр.Самал-3,POINT (76.95827742065912 43.22780487482205)
1359.0,Медеуский,пр.Назарбаева- пр.Аль-Фараби-Бульвар Мендикулова-мкр.Самал-2,POINT (76.95185440195738 43.22963744460233)
192.0,Наурызбайский,ул.Ашимова- ул.Машана- ул.Кулбекова,POINT (76.80327872148132 43.22768540747957)
345.0,Наурызбайский,ул.Кабылбаева - ул.Кулбекова - ул.Тыныбаева ,POINT (76.8081928322233 43.225103554337736)
3195.0,Медеуский,Бульвар Мендикулова- пр.Аль-Фараби- пр.Достык- мкр.Самал-2,POINT (76.95669608703548 43.22998263571885)
1189.0,Медеуский,пр.Назарбаева- ул.Жолдасбекова.мкр.Самал-1,POINT (76.95265779178654 43.23459291852957)
102.0,Медеуский,Тажибаева набер.- ул.Луганского-пер.Луганского,POINT (76.9617898043244 43.23478013342601)
334.0,Медеуский,Аль-Фараби пр.-пр.Достык.  ул.Армянская- ул.Луганского,POINT (76.96312093543294 43.23006241430767)
422.0,Наурызбайский,ул.Ашимова- ул.Кульбекова- ул.Кабылбаева- ул.Алатау,POINT (76.80582728116876 43.22378922297433)
192.0,Наурызбайский,Кулбекова- Нурпейсова- Байзак батыр- Тыныбаева,POINT (76.80971753275143 43.22663868209158)
141.0,Медеуский,ул.МИТИНА- пр.Достык- ул.ЧАЙКИНОЙ-р.Малая Алматинка,POINT (76.96659844250298 43.21761027143232)
754.0,Медеуский,пр.Достык,POINT (76.96361764346315 43.21511572934889)
254.0,Жетысуский,ул.Кыдырбекулы Балгабека- ул.Баянаульский- ул.Омская- ,POINT (76.96356547552287 43.28383585918917)
468.0,Медеуский,ул.ШУКШИНА(Горный Гигант)- ул.СЫЗГАНОВА(ГОРНЫЙ ГИГАНТ)- ул.КАРИБЖАНОВА(ГОРНЫЙ ГИГАНТ)- ул.АЛДАР КОСЕ)(ГОРНЫЙ ГИГАНТ)- ул.Жамакаева(ГОРНЫЙ ГИГАНТ),POINT (76.94058679649415 43.220094843953234)
249.0,Наурызбайский,ул.Кулбекова- р. Каргалинка - ул.Косынова (Калкаман-2) - ул.Лапина (Калкаман-2) - ул.Айтей батыра мкр.Калкаман-2йзак батыра-тайторы батыра,POINT (76.81444666146395 43.22822528789329)
50.0,Медеуский,ул.КЕРЕЙ ЖАНИБЕК ХАНДАР,POINT (76.981659189304 43.19940776364741)
239.0,Турксибский,Фучика- Жарылгасова- Иссык-кульская- Токтогула,POINT (76.93467197398648 43.29801989253314)
69.0,Турксибский,александрова- успенского-крамского-филатова-сейфуллина,POINT (76.9386895212486 43.29622190393418)
131.0,Медеуский,ул.Керей-Жанибек Хандар,POINT (76.98934819588528 43.19335929279442)
132.0,Турксибский,"Фучика,Жансугурова,иссык-кульская,жарылгасова",POINT (76.93271889790485 43.29780548015543)
231.0,Жетысуский,ул.Жангильдина- ул.Абаканская- ул.Матросова- ул.Бондаренко,POINT (76.95654819698929 43.28255074587865)
268.0,Жетысуский,ул.Нусупбекова- ул.Мусоргского- ул.Жангильдина- ул.Абаканская,POINT (76.95370691306816 43.2840944968624)
308.0,Жетысуский,ул.Жангильдина- ул.Мусоргского- ул.Гастелло- уд.Абаканская,POINT (76.95629779850292 43.284346404110494)
208.0,Жетысуский,ул.Гастелло- ул.Мусоргского- ул.Баишева- ул.Абаканская,POINT (76.95834988489703 43.284218847161306)
168.0,Жетысуский,ул.Баишева- ул.Севастопольская- ул.Хамиди Латифа- ул.Абаканская,POINT (76.96000437873887 43.28391864052134)
78.0,Жетысуский,пр.Суюная- ул.Грибоедова- ул.Сидоркина,POINT (76.94916723148725 43.28062822295696)
34.0,Жетысуский,пр.Суюнбая- ул.Мусоргского- ул.Грибоедова,POINT (76.94889011413336 43.28327498342574)
266.0,Жетысуский,ул.Нусупбекова- ул.Абаканская- ул.Жангильдинка- ул.Бондаренко,POINT (76.95391321679548 43.282329868349855)
195.0,Жетысуский,ул.Бондаренко- ул.Есенова Шахмардана- ул.Нусупбекова- ул.Бондаренко,POINT (76.9513681505067 43.282118382149704)
233.0,Жетысуский,ул.Грибоедова- ул.Мусоргского- ул.Нусупбекова,POINT (76.95113417627297 43.28388001761936)
7.0,Жетысуский,ул.Станиславского,POINT (76.96673155962615 43.282507312167134)
252.0,Жетысуский,ул.Джетысуйская- ул.Севастопольская- ул.Шерхана Муртазы- ул.Юмашева- ул.Кыдырбекулы Балгабекова- ул.Серафимовича,POINT (76.9615733213258 43.28236365366636)
186.0,Жетысуский,ул.Гастелло- ул.Баянаульская- ул.Баишева- ул.Мусоргского,POINT (76.95901729063735 43.286041578279296)
182.0,Медеуский,ул.ЖУКОВА(Горный Гигант)- ул.8 ГВАРДЕЙСКОЙ ДИВИЗИИ(ГОРНЫЙ ГИГАНТ)-Кирпичнозаводская 9-ая,POINT (76.947115645364 43.22319296112787)
78.0,Жетысуский,пр.Суюнбая- ул.Баянаульская- ул.Нусупбекова- ул.Мусоргского,POINT (76.94983373535095 43.285594479459334)
163.0,Жетысуский,ул.Нусупбекова- ул.Баянаульская- ул.Потанина- ул.Мусоргского,POINT (76.95292514603726 43.28580758351427)
189.0,Жетысуский,ул.Потанина- ул.Баянаульская- ул.Нур Алем- ул.Мусоргского,POINT (76.95483811592602 43.28594845553776)
152.0,Турксибский,Фучика- Иссык-кульская,POINT (76.93661322718584 43.29855733013361)
240.0,Жетысуский,ул.Нур Алем- ул.Баянаульская- ул.Гастелло- ул.Мусоргского,POINT (76.95698925888256 43.286189243933734)
267.0,Медеуский,ул.ШУКШИНА(Горный Гигант)- ул.ЖУКОВА(ГОРНЫЙ ГИГАНТ)- ул.ЗАТАЕВИЧА(ГОРНЫЙ ГИГАНТ)- ул.ИСКЕНДЕРОВА(ГОРНЫЙ ГИГАНТ),POINT (76.94887648816089 43.22161162712273)
391.0,Медеуский,ул.ШУКШИНА(Горный Гигант)- ул.Жамакаева(ГОРНЫЙ ГИГАНТ)- ул.ЗАТАЕВИЧА(ГОРНЫЙ ГИГАНТ)- ул.ЖУКОВА(ГОРНЫЙ ГИГАНТ),POINT (76.946135655177 43.219732727390294)
331.0,Жетысуский,ул.Баишева- ул.Баянаульская- ул.Черкасская- ул.Севастопольская,POINT (76.96104743000646 43.28553376001787)
424.0,Медеуский,ул.ЗАТАЕВИЧА(Горный Гигант)- ул.СЫЗГАНОВА(ГОРНЫЙ ГИГАНТ)- ул.ШУКШИНА(ГОРНЫЙ ГИГАНТ)- ул.Жамакаева(ГОРНЫЙ ГИГАНТ),POINT (76.94269604279386 43.21742652994149)
